ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt,ppg_B0_frac,ppg_B1_frac,ppg_B2_frac,acc_L_frac,acc_M_frac,gyro_L_frac,gyro_M_frac,awake
0.119753,0.014234,0.014341,1.004368,-6.182197,39.797333,0.043043,0.001843,0.001853,0.387861,3.256576,20.004484,9.808468,0.001366,96.206039,0.415395,-2.080286,13.969493,0.139269,0.019102,0.019396,1.114504,3.904529,20.719952,0.120915,0.013440,0.014620,0.916031,0.436796,3.982885,0.584094,0.318436,0.341165,4.961832,-6.450764,46.679974,-0.663385,0.417938,-0.129774,0.095783,-0.833011,-0.171370,220.825806,24484.167969,48764.039062,395.000000,0.026733,-1.958842,0.543999,0.364719,0.045045,0.534775,0.029863,0.297047,0.501137,1
0.017616,0.000147,0.000310,0.055067,0.096088,-0.325881,0.011086,0.000116,0.000123,0.043096,0.204216,-0.779561,9.804184,0.000293,96.122025,0.079009,0.503440,0.241042,0.046358,0.002079,0.002149,0.198473,0.216667,-0.670956,0.084874,0.007065,0.007204,0.427481,0.074676,-0.623029,0.060247,0.002147,0.003630,0.213740,-0.356336,0.101325,-0.029673,0.231763,0.020714,0.355148,0.085505,0.148870,52235.964844,519432672.000000,2728596224.000000,59544.000000,-1.376109,-0.015463,0.234192,0.685551,0.062553,0.535202,0.029577,0.256139,0.365875,1
0.015655,0.000175,0.000245,0.053870,0.039444,-0.654319,0.013784,0.000190,0.000190,0.106542,1.048415,3.898859,9.811613,0.000312,96.267754,0.088585,-0.201831,-0.174612,0.050167,0.002478,0.002517,0.290076,-0.031672,0.528854,0.107012,0.009746,0.011452,0.427481,1.039556,0.476043,0.067776,0.004315,0.004594,0.335878,0.399452,0.729294,0.088343,-0.090857,-0.082866,-0.121192,-0.008567,0.029300,55512.050781,301030432.000000,3081587712.000000,59544.000000,-2.479758,4.286910,0.909492,0.072451,0.009703,0.535070,0.029636,0.382895,0.364978,1
0.013037,0.000169,0.000170,0.050278,-0.213838,-0.844350,0.014886,0.000107,0.000222,0.047884,0.288353,-0.415155,9.809126,0.000249,96.218948,0.077811,0.403414,0.138412,0.048351,0.002157,0.002338,0.198473,-0.104543,-0.789055,0.060503,0.003521,0.003661,0.259542,0.450100,-0.338396,0.055295,0.002993,0.003058,0.213740,0.227634,-0.690628,0.073831,0.095019,-0.098964,0.092145,0.068644,-0.011395,58157.316406,12518.625977,3382273536.000000,507.000000,-0.000829,-0.491657,0.827655,0.138559,0.017274,0.535073,0.029406,0.296806,0.308833,1
0.015977,0.000248,0.000255,0.093374,0.947917,2.655560,0.013151,0.000161,0.000173,0.064643,0.215331,-0.060230,9.803467,0.000311,96.107964,0.082600,-0.067355,-0.664832,0.079974,0.006201,0.006396,0.488550,-1.741545,5.568146,0.074571,0.005501,0.005561,0.335878,-0.281724,-0.145960,0.382616,0.138534,0.146395,2.000000,3.668156,13.149055,0.426190,0.098986,-0.098062,0.242727,-0.758462,-0.160215,58117.808594,34013.070312,3377679616.000000,776.000000,-0.325245,-0.694386,0.829423,0.137414,0.016713,0.535389,0.029793,0.508607,0.381689,1
0.010605,0.000111,0.000112,0.062249,0.066784,-0.264338,0.015755,0.000140,0.000248,0.051475,-0.276570,-0.190179,9.814860,0.000302,96.331474,0.075418,-0.000237,-0.566367,0.043712,0.001741,0.001911,0.213740,-0.187150,-0.109018,0.058570,0.003180,0.003430,0.290076,-0.555203,-0.185432,0.071037,0.004067,0.005046,0.335878,-0.329284,-0.200802,-0.097240,0.004462,-0.078066,-0.188512,-0.171467,0.191340,57669.308594,16666.767578,3325749248.000000,497.000000,0.254989,-0.979582,0.827749,0.138540,0.017310,0.535266,0.029670,0.272083,0.391541,1
0.012720,0.000161,0.000162,0.079009,-0.999341,3.147745,0.017279,0.000177,0.000299,0.061052,-0.517180,0.397097,9.806964,0.000289,96.176544,0.075418,0.445182,-0.229361,0.078187,0.004694,0.006113,0.351145,-0.589761,0.089989,0.091613,0.008341,0.008393,0.549618,1.115437,2.957454,0.347160,0.103100,0.120520,1.465649,2.299660,5.059758,0.254702,0.357546,0.123470,0.029581,-0.760935,-0.037757,57585.773437,23674.705078,3316121088.000000,714.000000,0.010732,-0.293297,0.825961,0.140109,0.017598,0.535299,0.029670,0.320455,0.547838,1
0.011440,0.000129,0.000131,0.051475,0.403253,-0.470827,0.012544,0.000125,0.000157,0.050278,0.029867,-1.010777,9.804514,0.000199,96.128502,0.071826,0.254883,-0.329697,0.048944,0.002340,0.002396,0.213740,0.487604,-0.004791,0.061245,0.003745,0.003751,0.335878,0.051803,-0.119325,0.054037,0.002435,0.002920,0.229008,0.644073,-0.106355,-0.018309,0.047509,-0.007302,0.326699,0.020679,0.130404,57227.484375,8472.711914,3274984960.000000,384.000000,0.844467,0.555677,0.827293,0.139064,0.017030,0.535224,0.029596,0.415994,0.309769,1
0.014700,0.000216,0.000216,0.067038,0.308756,0.012168,0.014761,0.000182,0.000218,0.056264,-0.186103,-0.627048,9.806623,0.000283,96.169846,0.073023,-0.394925,-0.481650,0.081182,0.005677,0.006591,0.320611,-1.144063,0.825272,0.085724,0.007254,0.007349,0.366412,0.631033,0.062162,0.388959,0.121697,0.151289,1.648855,2.268543,4.425026,0.217542,-0.066057,0.158225,-0.200040,-0.764030,0.204640,57080.359375,30829.861328,3258167552.000000,705.000000,0.099856,-0.947478,0.826218,0.140010,0.017152,0.535328,0.029469,0.234100,0.580503,1
0.042563,0.001799,0.001812,0.434548,4.637744,31.600599,0.049274,0.002216,0.002428,0.446519,-4.065874,27.234211,9.810774,0.000353,96.251289,0.113725,0.325660,1.020754,0.183106,0.031419,0.033528,1.206107,-4.520465,23.099871,0.129553,0.016285,0.016784,0.870229,0.210698,2.860849,1.170568,1.252832,1.370230,6.839695,4.225180,19.547218,-0.877051,0.423697,-0.381360,-0.157491,-0.955519,0.112881,56724.484375,22720.773438,3217667328.000000,676.000000,0.284982,-0.662112,0.827870,0.138433,0.016927,0.535107,0.029507,0.333512,0.526060,1
0.016174,0.000213,0.000262,0.094571,-0.274351,1.644698,0.026584,0.000569,0.000707,0.158017,1.611047,5.499419,9.808867,0.000506,96.213867,0.095768,0.355372,-0.459969,0.082524,0.005935,0.006810,0.473282,-0.749239,2.555936,0.159438,0.024417,0.025420,0.854962,-0.467680,0.785676,0.448088,0.192117,0.200783,3.816794,3.003303,15.188174,0.148711,0.004084,0.074987,-0.290039,-0.805824,0.440931,56724.214844,31047.935547,3217636352.000000,825.000000,0.235787,-0.168013,0.828283,0.137721,0.017271,0.534904,0.030053,0.578028,0.290148,1
0.010894,0.000117,0.000119,0.044293,-0.633212,-0.504760,0.017796,0.000133,0.000317,0.051475,0.264113,-0.555898,9.808392,0.000343,96.204544,0.087389,-0.220138,-0.285806,0.073991,0.005468,0.005475,0.290076,0.259541,-0.827026,0.087633,0.006533,0.007680,0.396947,-0.170870,-0.325554,0.087693,0.007030,0.007690,0.412214,0.172303,-0.346842,-0.712335,-0.315337,0.336398,-0.327907,-0.363222,0.353412,57352.437500,220540.437500,3289302016.000000,1681.000000,-0.189649,-1.133204,0.823658,0.142597,0.017027,0.535442,0.029664,0.371337,0.324507,1
0.011961,0.000131,0.000143,0.055067,0.068556,-0.068552,0.016429,0.000213,0.000270,0.067038,-0.107806,-0.729081,9.809949,0.000304,96.235092,0.089783,-0.083001,0.029998,0.059213,0.003495,0.003506,0.290076,0.046622,0.100116,0.067582,0.004564,0.004567,0.351145,0.219528,0.060181,0.086993,0.006965,0.007568,0.381679,-0.041202,-0.450866,-0.126259,0.076139,-0.195283,-0.128017,-0.519975,-0.235965,57131.289062,169789.468750,3263984384.000000,1681.000000,0.806436,-0.414082,0.831049,0.135549,0.017228,0.535155,0.029950,0.218479,0.491403,1
0.008406,0.000071,0.000071,0.046687,-0.168860,-0.281239,0.019426,0.000242,0.000377,0.071826,-0.687462,0.562813,9.810545,0.000251,96.246788,0.070629,0.102728,-0.756967,0.060604,0.003663,0.003673,0.259542,0.184426,-0.602524,0.057627,0.002910,0.003321,0.274809,-0.027300,0.058892,0.083900,0.006987,0.007039,0.351145,0.651075,-0.432173,-0.095652,-0.078950,-0.048202,-0.131686,-0.674142,0.152651,56721.871094,5679.327637,3217370624.000000,309.000000,0.390137,-0.781167,0.827462,0.138839,0.017181,0.535366,0.029596,0.414706,0.231475,1
1.092556,0.892748,1.193679,3.693056,-1.011179,-0.174970,0.218055,0.044546,0.047548,1.374272,0.247465,3.624011,9.647182,0.496527,93.068130,3.751714,-2.020589,3.943080,2.504299,5.158731,6.271514,11.648855,1.438586,2.190018,17.708395,264.974976,313.587280,90.732826,1.921553,3.740899,4.290186,18.325537,18.405697,29.877863,2.822103,12.832824,-0.389844,0.541013,-0.200617,0.428764,-0.397205,0.122197,56686.332031,59913.976562,3213340416.000000,1499.000000,-1.021405,2.113470,0.828738,0.138239,0.016944,0.515573,0.070551,0.747260,0.120269,1
1.366914,0.653870,1.868453,3.049016,1.131760,-0.119786,0.322700,0.031233,0.104135,0.954089,-1.177114,2.081541,9.606511,0.334896,92.285065,3.716998,1.147340,2.677732,6.326828,39.956448,40.028748,40.000000,-1.866206,6.304582,25.411852,519.228882,645.762207,144.229004,-1.492321,3.282154,1.217643,1.418600,1.482655,6.488549,-1.415051,3.336863,-0.604393,0.596154,-0.310184,-0.189806,-0.220408,0.105342,56336.667969,37035.773437,3173820160.000000,1094.000000,0.342565,0.520761,0.826929,0.139669,0.017688,0.523029,0.048497,0.794704,0.156247,1
0.629692,0.208665,0.396512,1.795651,-0.815257,-0.195279,0.224241,0.033337,0.050284,0.866701,0.916175,0.282738,9.750424,0.169914,95.070778,3.520674,-1.673006,11.753384,2.486562,4.715658,6.182992,8.946565,-1.585270,1.845204,11.738200,109.567764,137.785355,45.541985,-0.278900,-0.519654,2.326640,5.339235,5.413252,10.213740,-0.719807,0.372692,-0.686617,0.497977,-0.191200,0.744425,0.177400,0.277852,56327.015625,186403.750000,3172732672.000000,2072.000000,0.389766,0.089277,0.827885,0.137910,0.018319,0.523192,0.038307,0.486386,0.415951,1
0.458376,0.020277,0.210109,0.679953,-0.025278,-0.625170,0.173410,0.004237,0.030071,0.385466,0.958101,1.773967,9.737796,0.062228,94.824661,1.472434,-1.547613,4.092222,0.956590,0.825454,0.915065,3.709924,-0.392770,-0.683377,3.439152,10.071533,11.827765,14.885496,-0.511532,0.097160,1.140347,1.178159,1.300392,6.534351,-1.381206,4.434103,-0.247212,0.000175,-0.390086,0.860584,-0.141490,0.246048,56174.695312,65646.937500,3155596288.000000,1042.000000,0.578898,-0.452875,0.827115,0.138837,0.017328,0.532616,0.030078,0.423195,0.412888,1
0.503410,0.250809,0.253421,2.274492,-0.198205,-0.322195,0.436200,0.052021,0.190271,0.956484,-0.517017,-0.029946,9.838682,1.414270,96.799660,4.821922,-0.312986,0.023331,13.948952,189.430756,194.573257,58.946564,0.276233,-0.323652,45.308838,2049.365723,2052.890625,173.679382,0.040569,-0.675497,4.892618,23.355631,23.937708,21.022902,0.625690,0.321840,-0.114168,0.174073,-0.648499,0.299624,0.602709,0.811084,55989.730469,101498.906250,3134850048.000000,1726.000000,0.134097,0.250419,0.831295,0.135144,0.017000,0.496988,0.111716,0.121962,0.650096,1
0.589173,0.264441,0.347124,2.809596,-0.155341,0.636957,0.327915,0.096880,0.107528,2.070984,-0.396915,2.490911,9.685147,1.756379,93.802078,6.247669,-0.180472,-0.389645,14.004848,195.241455,196.135773,76.961830,-1.409799,2.183578,52.186047,2689.705566,2723.383301,244.274811,-1.157986,0.996390,8.974163,77.927254,80.535599,50.564884,-0.397837,1.138081,-0.006879,0.137397,-0.275666,0.883375,0.622538,0.721534,55695.140625,114143.765625,3101948672.000000,1862.000000,-0.141521,0.762742,0.827837,0.138736,0.016473,0.446915,0.218957,0.234884,0.577381,1
