subject_id,session_id,date,time,timestamp,session_duration,window_sequence_num,experiment_condition,ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ax_mean,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,ay_mean,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,az_mean,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gx_mean,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gy_mean,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,gz_mean,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt,ppg_mean,ppg_B0_frac,ppg_B1_frac,ppg_B2_frac,acc_L_frac,acc_M_frac,gyro_L_frac,gyro_M_frac,awake
S02,SES03,2025-11-01,19:32:49,1762050769.4448195,28.697951316833496,0,normal,0.029747,0.000884,0.000885,0.113725,0.410985,-0.559902,0.001027,0.030489,0.000924,0.000930,0.120907,-0.447413,-0.416932,0.002415,9.810706,0.000307,96.249954,0.082601,-0.838276,1.128233,9.810691,0.116291,0.007461,0.013524,0.320611,0.503031,-0.459450,0.077863,0.079682,0.006169,0.006349,0.366412,-0.711675,0.164741,0.013435,0.103954,0.010806,0.010806,0.335878,-0.086584,-1.231000,0.000420,-0.732468,-0.290746,0.140991,0.616864,-0.554218,-0.548175,446.156158,21283.462891,199055.312500,424.000000,0.525574,-1.369564,421.630005,0.027360,0.940437,0.025426,0.412172,0.649928,0.284085,0.554330,0
S02,SES03,2025-11-01,19:32:57,1762050777.440879,36.694010734558105,1,normal,0.202179,0.037819,0.040876,0.683545,-0.505779,-1.150995,0.055294,0.128874,0.014656,0.016609,0.418985,0.416007,-1.149092,-0.044188,9.817095,0.000987,96.375343,0.254983,-0.323565,3.367280,9.817044,0.520068,0.253402,0.270471,1.587786,-0.515812,-1.025742,0.130649,0.756453,0.570085,0.572221,2.259542,0.191773,-1.391579,-0.046221,0.234298,0.054894,0.054895,0.809160,-0.450754,-1.049199,0.000992,-0.514218,0.405024,-0.558516,0.632069,0.947392,0.621195,300.183105,79.887497,90109.890625,50.000000,0.571584,0.423429,300.049988,0.006309,0.079057,0.036330,0.484511,0.256751,0.828069,0.185915,0
S02,SES03,2025-11-01,19:32:58,1762050778.81383,38.06696152687073,2,normal,0.012914,0.000141,0.000167,0.047884,0.376945,-0.009644,0.005073,0.012741,0.000150,0.000162,0.049081,-0.061230,-0.358138,-0.003534,9.804639,0.000359,96.130951,0.088586,0.949375,0.614412,9.804621,0.052222,0.002318,0.002727,0.213740,-0.015309,-0.429779,0.020229,0.054525,0.002917,0.002973,0.198473,-0.114394,-1.180501,0.007481,0.051993,0.002696,0.002703,0.213740,0.116360,-0.819728,-0.002710,-0.130897,0.009697,-0.430423,0.123097,-0.463404,-0.184358,303.995453,182.581970,92413.234375,68.000000,1.484767,2.711384,303.695007,0.159139,0.328730,0.116413,0.264622,0.570231,0.413965,0.465145,0
S02,SES03,2025-11-01,19:32:59,1762050779.164238,38.41736936569214,3,normal,0.060667,0.003348,0.003680,0.257377,0.519642,0.406685,0.018235,0.118110,0.012982,0.013950,0.344765,0.233584,-1.351112,-0.031110,9.819593,0.003338,96.424408,0.263362,-0.656300,0.849318,9.819424,0.252450,0.042750,0.063731,1.099237,0.959764,2.205033,-0.144847,0.505083,0.253863,0.255109,2.015267,0.120671,-0.523889,0.035305,0.246110,0.060097,0.060570,0.870229,0.887616,0.179599,0.021756,0.348311,-0.360864,-0.234763,0.409783,0.656065,-0.246176,690.500122,331587.500000,476790.406250,6599.000000,9.282165,92.144882,381.054993,0.061620,0.196707,0.138137,0.138826,0.741371,0.343273,0.538381,0
S02,SES03,2025-11-01,19:32:59,1762050779.3397143,38.59284591674805,4,normal,0.056787,0.002883,0.003225,0.257377,0.126610,0.154302,0.018477,0.115463,0.012203,0.013332,0.344765,0.211761,-1.294044,-0.033591,9.821435,0.002551,96.460594,0.263362,-0.354087,1.146887,9.821305,0.247243,0.043141,0.061129,1.099237,0.823830,1.931147,-0.134122,0.467422,0.217626,0.218483,2.015267,0.281101,-0.412320,0.029275,0.242948,0.058919,0.059024,0.870229,1.041481,0.478374,0.010267,0.308196,-0.325816,-0.182475,0.352117,0.658285,-0.222546,5773.365723,31869454.000000,33331752.000000,57034.000000,7.972277,67.252449,1209.255005,0.007251,0.187817,0.146771,0.106204,0.744977,0.561597,0.250218,0
S02,SES03,2025-11-01,19:32:59,1762050779.5213032,38.77443504333496,5,normal,0.065507,0.003596,0.004291,0.257377,0.145544,-0.262514,0.026357,0.110153,0.009994,0.012134,0.344765,0.298391,-1.063537,-0.046253,9.818530,0.002315,96.403526,0.263362,-0.340181,1.486232,9.818412,0.228710,0.039180,0.052308,1.099237,0.835620,2.324013,-0.114580,0.472071,0.215044,0.222851,2.015267,0.106560,-0.709034,0.088359,0.287610,0.082117,0.082720,1.221374,0.369103,0.186417,-0.024542,0.328597,-0.354641,-0.240669,0.311999,0.519319,-0.404315,10634.081055,107001272.000000,113083680.000000,63266.000000,5.223463,26.317417,2466.254883,0.023164,0.383336,0.262932,0.260588,0.592759,0.741268,0.207358,0
S02,SES03,2025-11-01,19:32:59,1762050779.7014375,38.95456910133362,6,normal,0.070159,0.003891,0.004922,0.257377,0.047713,-0.515338,0.032115,0.106466,0.009803,0.011335,0.344765,0.137979,-1.085803,-0.039139,9.815652,0.002290,96.347031,0.263362,-0.417265,1.453177,9.815536,0.210158,0.035593,0.044166,1.099237,0.793645,2.766381,-0.092595,0.456929,0.199496,0.208784,2.015267,0.015077,-0.506444,0.096374,0.279913,0.078351,0.078351,1.221374,0.196018,0.352438,-0.000573,0.408157,-0.330446,-0.272786,0.337737,0.460098,-0.414162,14086.657227,184245776.000000,198433920.000000,65221.000000,4.009990,14.495480,3766.715088,0.039206,0.560274,0.287629,0.362231,0.485283,0.706505,0.253040,0
S02,SES03,2025-11-01,19:32:59,1762050779.8818185,39.134950399398804,7,normal,0.078864,0.005727,0.006219,0.308852,-0.329432,-0.503327,0.022197,0.095390,0.008334,0.009099,0.344765,0.026100,-0.776093,-0.027665,9.813136,0.002122,96.297638,0.263362,-0.454415,1.821925,9.813027,0.203150,0.037094,0.041270,1.099237,0.520104,2.042988,-0.064618,0.449288,0.190634,0.201860,2.015267,-0.041699,-0.320963,0.105954,0.283389,0.080209,0.080309,1.221374,0.259798,0.258800,-0.010038,0.302012,-0.271129,-0.218464,0.343563,0.383209,-0.408752,16818.734375,257264432.000000,282869824.000000,65221.000000,3.299618,9.111769,5060.174805,0.055532,0.692291,0.224129,0.284470,0.520323,0.739380,0.209928,0
S02,SES03,2025-11-01,19:33:00,1762050780.0622966,39.315428018569946,8,normal,0.200686,0.039901,0.040275,0.908600,-2.233888,4.676080,-0.019333,0.375874,0.118658,0.141281,1.731008,-2.375432,5.156866,-0.150410,9.803529,0.008051,96.109184,0.612916,-2.473089,11.955728,9.803119,1.026437,0.910274,1.053574,6.015267,2.053977,4.123509,0.378550,2.926694,7.484733,8.565539,22.152672,1.196138,7.733516,1.039618,2.839239,6.533697,8.061279,9.374045,-1.831470,1.558515,-1.235954,0.598354,0.524153,-0.046990,0.915173,-0.850594,-0.681156,19092.199219,324416864.000000,364512096.000000,65221.000000,2.815317,6.068334,6332.080078,0.072237,0.771259,0.128142,0.041535,0.537239,0.720637,0.228673,0
S02,SES03,2025-11-01,19:33:00,1762050780.2441359,39.497267723083496,9,normal,0.201947,0.039732,0.040783,0.908600,-2.060130,4.174778,-0.032412,0.375448,0.118696,0.140961,1.800440,-2.384171,5.185707,-0.149216,9.803673,0.008051,96.112007,0.612916,-2.479553,11.970119,9.803263,1.029646,0.946200,1.060171,6.015267,2.027457,3.955240,0.337595,2.927132,7.468322,8.568099,22.152672,1.191116,7.764482,1.048702,2.839389,6.470870,8.062127,9.374045,-1.835243,1.568476,-1.261450,0.570764,0.512650,-0.042123,0.912665,-0.854900,-0.680762,21163.169922,389857856.000000,447879776.000000,65221.000000,2.455165,4.127759,7617.209961,0.089300,0.799383,0.057182,0.038512,0.542354,0.711403,0.232783,0
S02,SES03,2025-11-01,19:33:00,1762050780.4251943,39.67832589149475,10,normal,0.199319,0.037912,0.039728,0.908600,-2.089192,4.395540,-0.042623,0.375533,0.119468,0.141025,1.800440,-2.377207,5.148762,-0.146824,9.803105,0.008077,96.100883,0.612916,-2.451344,11.811104,9.802693,1.029710,0.937028,1.060304,6.015267,2.020764,3.975250,0.351107,2.929310,7.422685,8.580855,22.152672,1.174756,7.847959,1.076183,2.838505,6.455246,8.057113,9.374045,-1.839062,1.576940,-1.265649,0.560590,0.524759,-0.046191,0.914082,-0.854485,-0.677937,23092.207031,453718944.000000,533250016.000000,65221.000000,2.170782,2.787714,8918.019531,0.106814,0.792205,0.035545,0.035444,0.546843,0.711288,0.236617,0
S02,SES03,2025-11-01,19:33:00,1762050780.5941696,39.8473014831543,11,normal,0.197472,0.036539,0.038995,0.908600,-2.128885,4.621319,-0.049560,0.375708,0.121493,0.141156,1.800440,-2.362759,5.063886,-0.140225,9.803178,0.008027,96.102303,0.612916,-2.471598,11.996775,9.802769,1.029654,0.938220,1.060187,6.015267,2.022086,3.973383,0.349237,2.930505,7.660679,8.587857,22.152672,1.221416,7.388303,0.962901,2.835711,6.527230,8.041257,9.374045,-1.842983,1.581021,-1.230458,0.559465,0.547104,-0.050787,0.915645,-0.855387,-0.685914,24444.259766,499605056.000000,597521792.000000,65221.000000,1.991099,2.027543,9895.290039,0.120336,0.776276,0.041920,0.037440,0.550942,0.713155,0.238898,0
